sg_window,sg_poly,prominence,distance,n_peaks,score,mean_prominence,tp,fp,fn,precision,recall,f1,mae,tol_abs,peaks_diff
41,2,0.07,30,75,0.5242718446601942,30.665871607584045,27,48,1,0.36,0.9642857142857143,0.5242718446601942,3.2962962962962963,15,47
41,3,0.07,30,75,0.5242718446601942,30.719029713690663,27,48,1,0.36,0.9642857142857143,0.5242718446601942,3.2962962962962963,15,47
101,3,0.03,30,56,0.5238095238095237,23.710523803420443,22,34,6,0.39285714285714285,0.7857142857142857,0.5238095238095237,4.454545454545454,15,28
61,2,0.09,30,64,0.5217391304347825,28.658780537125068,24,40,4,0.375,0.8571428571428571,0.5217391304347825,2.9166666666666665,15,36
101,3,0.05,20,64,0.5217391304347825,20.79774613835547,24,40,4,0.375,0.8571428571428571,0.5217391304347825,3.9166666666666665,15,36
101,2,0.05,20,64,0.5217391304347825,20.57446731228051,24,40,4,0.375,0.8571428571428571,0.5217391304347825,4.25,15,36
61,2,0.05,30,68,0.5208333333333335,26.97663525323067,25,43,3,0.36764705882352944,0.8928571428571429,0.5208333333333335,3.2,15,40
31,2,0.09,30,72,0.52,36.35767356828007,26,46,2,0.3611111111111111,0.9285714285714286,0.52,1.9230769230769231,15,44
31,3,0.09,30,72,0.52,36.408600412255765,26,46,2,0.3611111111111111,0.9285714285714286,0.52,1.9230769230769231,15,44
41,2,0.03,30,76,0.5192307692307693,30.263077313412342,27,49,1,0.35526315789473684,0.9642857142857143,0.5192307692307693,3.2962962962962963,15,48
41,2,0.05,30,76,0.5192307692307693,30.263077313412342,27,49,1,0.35526315789473684,0.9642857142857143,0.5192307692307693,3.2962962962962963,15,48
41,3,0.03,30,76,0.5192307692307693,30.3155359707544,27,49,1,0.35526315789473684,0.9642857142857143,0.5192307692307693,3.2962962962962963,15,48
41,3,0.05,30,76,0.5192307692307693,30.3155359707544,27,49,1,0.35526315789473684,0.9642857142857143,0.5192307692307693,3.2962962962962963,15,48
61,2,0.12,30,61,0.5168539325842696,30.062931874900713,23,38,5,0.3770491803278688,0.8214285714285714,0.5168539325842696,2.608695652173913,15,33
61,2,0.07,30,65,0.5161290322580645,28.2190489122921,24,41,4,0.36923076923076925,0.8571428571428571,0.5161290322580645,2.9166666666666665,15,37
61,3,0.09,30,65,0.5161290322580645,28.298146812290117,24,41,4,0.36923076923076925,0.8571428571428571,0.5161290322580645,2.9166666666666665,15,37
61,3,0.05,30,69,0.5154639175257733,26.661286748442592,25,44,3,0.36231884057971014,0.8928571428571429,0.5154639175257733,3.2,15,41
31,2,0.07,30,73,0.5148514851485149,35.86079867237924,26,47,2,0.3561643835616438,0.9285714285714286,0.5148514851485149,1.9230769230769231,15,45
31,3,0.07,30,73,0.5148514851485149,35.911027888355264,26,47,2,0.3561643835616438,0.9285714285714286,0.5148514851485149,1.9230769230769231,15,45
61,3,0.12,30,62,0.5111111111111112,29.66220052889995,23,39,5,0.3709677419354839,0.8214285714285714,0.5111111111111112,2.608695652173913,15,34
61,3,0.07,30,66,0.5106382978723404,27.87054193517939,24,42,4,0.36363636363636365,0.8571428571428571,0.5106382978723404,2.9166666666666665,15,38
51,2,0.12,30,70,0.5102040816326532,29.02452924816112,25,45,3,0.35714285714285715,0.8928571428571429,0.5102040816326532,3.16,15,42
51,3,0.12,30,70,0.5102040816326532,29.181219571726512,25,45,3,0.35714285714285715,0.8928571428571429,0.5102040816326532,3.16,15,42
61,2,0.03,30,70,0.5102040816326532,26.20697431841383,25,45,3,0.35714285714285715,0.8928571428571429,0.5102040816326532,3.2,15,42
31,2,0.05,30,74,0.5098039215686275,35.377098862059164,26,48,2,0.35135135135135137,0.9285714285714286,0.5098039215686275,1.9230769230769231,15,46
31,3,0.05,30,74,0.5098039215686275,35.42664930484632,26,48,2,0.35135135135135137,0.9285714285714286,0.5098039215686275,1.9230769230769231,15,46
101,3,0.12,15,59,0.5057471264367817,22.582822065570408,22,37,6,0.3728813559322034,0.7857142857142857,0.5057471264367817,3.909090909090909,15,31
101,2,0.12,15,59,0.5057471264367817,22.339668663443586,22,37,6,0.3728813559322034,0.7857142857142857,0.5057471264367817,4.2727272727272725,15,31
81,2,0.07,20,67,0.5052631578947367,22.831442769519143,24,43,4,0.3582089552238806,0.8571428571428571,0.5052631578947367,4.875,15,39
61,3,0.03,30,71,0.5050505050505051,25.911349164955233,25,46,3,0.352112676056338,0.8928571428571429,0.5050505050505051,3.2,15,43
21,2,0.12,30,75,0.5048543689320388,42.557551166648594,26,49,2,0.3466666666666667,0.9285714285714286,0.5048543689320388,1.6153846153846154,15,47
21,3,0.12,30,75,0.5048543689320388,42.73722982202979,26,49,2,0.3466666666666667,0.9285714285714286,0.5048543689320388,1.6153846153846154,15,47
101,3,0.03,20,68,0.5,19.576904805446706,24,44,4,0.35294117647058826,0.8571428571428571,0.5,3.9166666666666665,15,40
101,2,0.03,20,68,0.5,19.366760027964382,24,44,4,0.35294117647058826,0.8571428571428571,0.5,4.25,15,40
81,3,0.07,20,68,0.5,22.541516296815338,24,44,4,0.35294117647058826,0.8571428571428571,0.5,4.875,15,40
21,2,0.09,30,77,0.4952380952380952,41.4552059465935,26,51,2,0.33766233766233766,0.9285714285714286,0.4952380952380952,1.6153846153846154,15,49
21,3,0.09,30,77,0.4952380952380952,41.630217623912856,26,51,2,0.33766233766233766,0.9285714285714286,0.4952380952380952,1.6153846153846154,15,49
51,2,0.09,30,73,0.4950495049504951,27.836046487349805,25,48,3,0.3424657534246575,0.8928571428571429,0.4950495049504951,3.16,15,45
51,3,0.09,30,73,0.4950495049504951,27.9862974825495,25,48,3,0.3424657534246575,0.8928571428571429,0.4950495049504951,3.16,15,45
101,3,0.09,15,65,0.4946236559139785,20.507569956879202,23,42,5,0.35384615384615387,0.8214285714285714,0.4946236559139785,3.9130434782608696,15,37
101,2,0.09,15,65,0.4946236559139785,20.286861484179465,23,42,5,0.35384615384615387,0.8214285714285714,0.4946236559139785,4.260869565217392,15,37
